title,difficulty_short,difficulty,level,notes
22DUNK,SPB,1,-1,-1
22DUNK,SPN,2,3,265
22DUNK,SPH,3,4,323
22DUNK,SPA,4,5,329
22DUNK,SPL,5,-1,-1
5.1.1.,SPB,1,-1,-1
5.1.1.,SPN,2,2,99
5.1.1.,SPH,3,6,511
5.1.1.,SPA,4,10,786
5.1.1.,SPL,5,-1,-1
deep in you,SPB,1,-1,-1
deep in you,SPN,2,4,250
deep in you,SPH,3,4,255
deep in you,SPA,4,5,333
deep in you,SPL,5,-1,-1
Dr.LOVE,SPB,1,-1,-1
Dr.LOVE,SPN,2,2,204
Dr.LOVE,SPH,3,3,261
Dr.LOVE,SPA,4,4,290
Dr.LOVE,SPL,5,-1,-1
GAMBOL,SPB,1,-1,-1
GAMBOL,SPN,2,2,137
GAMBOL,SPH,3,2,137
GAMBOL,SPA,4,-1,-1
GAMBOL,SPL,5,-1,-1
GENOM SCREAMS,SPB,1,-1,-1
GENOM SCREAMS,SPN,2,3,211
GENOM SCREAMS,SPH,3,6,417
GENOM SCREAMS,SPA,4,9,536
GENOM SCREAMS,SPL,5,-1,-1
gentle stress,SPB,1,-1,-1
gentle stress,SPN,2,2,172
gentle stress,SPH,3,4,342
gentle stress,SPA,4,9,728
gentle stress,SPL,5,-1,-1
GRADIUSIC CYBER,SPB,1,-1,-1
GRADIUSIC CYBER,SPN,2,5,442
GRADIUSIC CYBER,SPH,3,6,508
GRADIUSIC CYBER,SPA,4,7,609
GRADIUSIC CYBER,SPL,5,-1,-1
KEEP ON MOVIN',SPB,1,-1,-1
KEEP ON MOVIN',SPN,2,2,98
KEEP ON MOVIN',SPH,3,3,122
KEEP ON MOVIN',SPA,4,-1,-1
KEEP ON MOVIN',SPL,5,-1,-1
Macho Gang,SPB,1,-1,-1
Macho Gang,SPN,2,2,191
Macho Gang,SPH,3,7,548
Macho Gang,SPA,4,10,837
Macho Gang,SPL,5,-1,-1
PARANOIA MAX～DIRTY MIX～,SPB,1,-1,-1
PARANOIA MAX～DIRTY MIX～,SPN,2,5,280
PARANOIA MAX～DIRTY MIX～,SPH,3,6,376
PARANOIA MAX～DIRTY MIX～,SPA,4,8,562
PARANOIA MAX～DIRTY MIX～,SPL,5,-1,-1
R3,SPB,1,-1,-1
R3,SPN,2,4,330
R3,SPH,3,5,368
R3,SPA,4,6,454
R3,SPL,5,-1,-1
RUGGED ASH,SPB,1,-1,-1
RUGGED ASH,SPN,2,3,185
RUGGED ASH,SPH,3,3,201
RUGGED ASH,SPA,4,9,556
RUGGED ASH,SPL,5,11,1058
THE EARTH LIGHT,SPB,1,-1,-1
THE EARTH LIGHT,SPN,2,4,398
THE EARTH LIGHT,SPH,3,7,530
THE EARTH LIGHT,SPA,4,8,581
THE EARTH LIGHT,SPL,5,-1,-1
.59,SPB,1,-1,-1
.59,SPN,2,4,360
.59,SPH,3,6,514
.59,SPA,4,7,584
.59,SPL,5,-1,-1
Digital MinD(A/T Libra mix),SPB,1,-1,-1
Digital MinD(A/T Libra mix),SPN,2,4,374
Digital MinD(A/T Libra mix),SPH,3,5,542
Digital MinD(A/T Libra mix),SPA,4,6,573
Digital MinD(A/T Libra mix),SPL,5,-1,-1
Electro Tuned(the SubS mix),SPB,1,-1,-1
